,<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
94939,VCB,20170809,37.5821,37.7289,36.7013,36.9986,1227850
95262,VCB,20170808,37.2395,38.1204,37.2395,37.5859,1643470
95600,VCB,20170807,37.2885,37.4353,37.1906,37.2433,748690
95915,VCB,20170804,37.4842,37.5821,37.0927,37.2433,755620
96232,VCB,20170803,37.4842,37.5821,37.2885,37.488,677010
96577,VCB,20170802,37.2923,37.5859,36.9986,37.2923,943280
96901,VCB,20170801,37.1906,37.8757,37.1906,37.5859,1710380
97237,VCB,20170731,36.705,37.0965,36.705,36.9497,1097910
97549,VCB,20170728,36.5582,36.9986,36.5092,36.705,1246630
97857,VCB,20170727,36.6071,36.7539,36.5582,36.5582,661800
98172,VCB,20170726,36.6523,36.7991,36.4076,36.6071,1240450
98531,VCB,20170725,36.4076,36.5544,36.114000000000004,36.5092,483370
98829,VCB,20170724,36.2119,36.5055,35.8694,36.5092,914230
99164,VCB,20170721,36.8029,36.9008,36.2156,36.2156,1058900
99475,VCB,20170720,36.705,36.8029,36.3135,36.6561,1086130
99795,VCB,20170719,36.9986,37.1455,36.705,36.8029,1170570
100137,VCB,20170718,36.8029,37.1944,36.7539,36.9497,1396110
100463,VCB,20170717,37.4391,37.537,36.9008,36.9008,703340
100758,VCB,20170714,37.3902,37.537,37.2433,37.4391,386280
101093,VCB,20170713,37.6838,37.6838,37.1944,37.3902,467540
101416,VCB,20170712,37.6838,37.6838,37.0476,37.1944,1299690
101749,VCB,20170711,37.1906,37.4842,36.7991,37.488,1103920
102065,VCB,20170710,38.0753,38.2711,37.1944,37.2923,1364350
102402,VCB,20170707,38.6626,38.8094,37.8796,37.8796,1164990
102723,VCB,20170706,37.9774,38.6626,37.9774,38.5158,2378800
103025,VCB,20170705,38.1732,38.1732,37.6349,38.0264,799160
103368,VCB,20170704,38.1732,38.1732,37.6838,37.8796,819980
103689,VCB,20170703,37.68,38.3161,37.5821,38.0753,1812960
104005,VCB,20170630,37.488,37.7817,37.2923,37.6838,854400
104322,VCB,20170629,37.488,37.537,37.0965,37.3902,841580
104647,VCB,20170628,37.4353,37.4842,37.0438,37.2433,1400580
104945,VCB,20170627,37.9774,38.0264,37.4391,37.4391,1026510
105283,VCB,20170626,37.488,37.7817,37.3412,37.6838,1214450
105612,VCB,20170623,37.2433,37.3902,36.9497,37.2923,1880570
105916,VCB,20170622,37.8796,37.9285,37.2923,37.2923,1355410
106251,VCB,20170621,38.4629,38.5118,37.1906,37.8306,2270290
106563,VCB,20170620,38.9562,38.9562,38.4668,38.6626,2278990
106873,VCB,20170619,39.0052,39.152,38.5647,38.8584,1526720
107186,VCB,20170616,39.0052,39.0052,38.4179,38.6626,2708280
107528,VCB,20170615,38.369,38.7605,38.2221,38.6626,2996650
107837,VCB,20170614,37.7327,38.5647,37.7327,38.369,2818810
108143,VCB,20170613,37.2395,37.8268,37.1906,37.7327,986280
108436,VCB,20170612,37.5859,37.6349,37.1455,37.537,971550
108757,VCB,20170609,37.2885,37.7778,37.0927,37.5859,1972850
109077,VCB,20170608,37.3863,37.4842,36.9949,37.0965,1634700
109378,VCB,20170607,37.8757,38.0225,37.3863,37.488,2419330
109710,VCB,20170606,36.5055,37.8268,36.4076,37.8306,4750190
110023,VCB,20170605,35.6283,36.5092,35.5794,36.4114,1909000
110332,VCB,20170602,35.5268,35.7226,35.3311,35.5304,1088530
110632,VCB,20170601,35.6247,35.8694,35.4289,35.5304,972860
110937,VCB,20170531,35.922,35.922,35.041,35.4326,1478930
111256,VCB,20170530,35.9183,35.9183,35.4289,35.5304,1368210
111582,VCB,20170529,36.3098,36.6034,35.6247,35.6283,1697170
111880,VCB,20170526,36.2645,36.4603,35.922,35.922,1241870
112176,VCB,20170525,36.9986,37.0476,36.3135,36.3135,1692550
112494,VCB,20170524,36.3624,37.2433,36.2645,36.9497,1579160
112814,VCB,20170523,36.705,36.9008,36.4114,36.4114,1332510
113136,VCB,20170522,36.3135,37.3902,35.9709,36.705,3432310
113435,VCB,20170519,35.6283,35.9709,35.5304,35.9709,1089810
113744,VCB,20170518,35.3347,35.7751,35.3347,35.5794,1050880
114059,VCB,20170517,35.2368,35.5794,35.2368,35.4326,1250660
114372,VCB,20170516,35.3311,35.6247,35.2332,35.2857,1005430
114664,VCB,20170515,35.6247,35.7226,35.38,35.5304,1127830
114990,VCB,20170512,35.9709,36.0198,35.5794,35.6773,898130
115286,VCB,20170511,36.0162,36.2119,35.9672,36.0198,1216160
115609,VCB,20170510,35.6773,36.2156,35.6773,35.9709,1447800
115923,VCB,20170509,34.9921,35.8241,34.8942,35.6773,1633890
116188,VCB,20170508,35.3347,35.5304,34.9432,34.9921,863080
116519,VCB,20170505,35.5304,35.5304,35.1389,35.3347,783900
116839,VCB,20170504,34.7439,35.8204,34.646,35.5304,2186490
117110,VCB,20170503,34.3559,35.2368,34.3069,34.7474,899880
117448,VCB,20170428,34.0622,34.5027,34.0133,34.3559,1522920
117727,VCB,20170427,34.4538,34.5516,33.9644,34.1112,2240170
118053,VCB,20170426,34.3524,34.4502,34.2545,34.3069,709260
118360,VCB,20170425,34.3559,34.5516,34.2091,34.3559,656130
118660,VCB,20170424,34.7474,34.9921,34.3559,34.3559,450210
118940,VCB,20170421,34.6495,35.1389,34.6495,34.7474,517030
119255,VCB,20170420,35.1353,35.1353,34.646,34.6495,1002210
119553,VCB,20170419,35.0375,35.3311,34.9396,35.1389,571690
119836,VCB,20170418,34.7474,35.09,34.6495,35.09,534340
120152,VCB,20170417,35.5794,35.6773,34.7474,34.7474,1031640
120475,VCB,20170414,35.922,35.9709,35.2368,35.5794,1028920
120761,VCB,20170413,35.873000000000005,36.3624,35.873000000000005,35.9709,771230
121070,VCB,20170412,36.2119,36.2119,35.8694,36.0198,925540
121383,VCB,20170411,35.9183,36.2119,35.9183,36.1177,494890
121716,VCB,20170410,36.1177,36.3135,35.922,35.922,701010
121997,VCB,20170407,35.8204,36.114000000000004,35.8204,36.0198,746360
122317,VCB,20170405,36.0198,36.5092,36.0198,36.0688,620740
