Date,Open,High,Low,Close,Volume
20170110,15.6009,15.6978,15.4556,15.6009,2471780
20170109,15.3102,15.8916,15.3102,15.6978,6160700
20170106,14.7288,15.5525,14.7288,15.2618,6338280
20170105,14.8742,15.2133,14.7288,14.9226,1988580
20170104,14.8242,15.2117,14.8242,14.971,4674470
20170103,13.9052,14.6804,13.9052,14.6804,4954000
20161230,13.8083,13.9536,13.7598,13.7598,1439980
20161229,13.9536,14.0021,13.7598,13.8567,1707820
20161228,14.099,14.099,13.8567,14.0021,1805210
20161227,14.1474,14.1474,13.9052,14.0505,1463890
20161226,14.1474,14.2928,14.099,14.1474,1127830
20161223,14.1474,14.1474,13.9052,14.1474,1837280
20161222,14.2928,14.2928,14.0505,14.1474,967740
20161221,14.2928,14.4381,14.099,14.4381,1778310
20161220,14.3412,14.3897,14.1959,14.2928,1298970
20161219,14.1959,14.535,14.1959,14.2928,1823730
20161216,14.099,14.3412,14.099,14.1959,1663470
20161215,14.3412,14.535,14.0505,14.535,2157870
20161214,13.6629,14.7288,13.6145,14.7288,1762620
20161213,14.0505,14.0505,13.566,13.8567,2488130
20161212,14.1474,14.2928,14.0021,14.1474,1565240
20161209,14.3412,14.4381,14.1959,14.2928,772520
20161208,14.2928,14.3897,14.1959,14.3412,1623610
20161207,14.2928,14.3897,14.1959,14.2928,1784350
20161206,14.5835,14.6319,14.0505,14.2928,2279090
20161205,14.8257,14.8257,14.535,14.7288,1640570
20161202,14.8742,14.9226,14.7288,14.8257,1335510
20161201,14.9226,14.9226,14.7773,14.9226,2936240
20161130,14.9226,14.9711,14.6804,14.8257,2368910
20161129,15.2133,15.2618,14.7288,14.7288,1665320
20161128,15.3102,15.3102,15.068,15.2133,1818540
20161125,15.504,15.504,15.2133,15.4071,840410
20161124,15.6009,15.6009,15.2133,15.504,617020
20161123,15.6978,15.8432,15.6009,15.6009,3221530
20161122,15.0195,15.6009,15.0195,15.6009,1905030
20161121,14.9226,15.2133,14.9226,15.0195,2002790
20161118,14.8742,14.8742,14.7288,14.8257,837340
20161117,14.9711,14.9711,14.8257,14.8257,680780
20161116,14.8726,15.018,14.8726,14.971,554170
20161115,14.8726,15.018,14.8242,14.8741,943440
20161114,15.2602,15.2602,14.8242,14.8741,1117210
20161111,15.2133,15.3587,15.068,15.2133,730860
20161110,15.4071,15.4071,15.2133,15.3102,1048200
20161109,15.3102,15.3102,14.3412,15.3102,1444880
20161108,15.3102,15.504,15.2618,15.2618,650940
20161107,15.4556,15.6978,15.3102,15.3102,1291320
20161104,15.4071,15.6978,15.3102,15.6978,1590540
20161103,15.6978,15.6978,15.3587,15.6009,1917430
20161102,15.6417,15.6417,15.3657,15.5047,1422400
20161101,15.3657,15.6417,15.3197,15.6428,1407290
20161031,15.3657,15.8257,15.3657,15.3667,1090960
20161028,15.4577,15.8257,15.4117,15.7348,1926490
20161027,15.7337,15.7797,15.3657,15.3667,2307600
20161026,15.9177,16.1018,15.6417,15.8728,1230860
20161025,16.2398,16.2398,15.8257,16.0568,2232770
20161024,16.3778,16.4698,16.1938,16.2409,3458020
20161021,16.0097,16.2858,16.0097,16.1949,929330
20161020,16.3778,16.3778,16.1018,16.1949,2281060
20161019,15.5037,16.2858,15.5037,16.2869,5957570
20161018,15.7337,15.7337,15.4117,15.6428,251130
20161017,15.5497,15.7797,15.5497,15.7348,897530
20161014,15.3657,15.7337,15.3197,15.6428,2349780
20161013,15.4117,15.4577,15.3657,15.4587,421910
20161012,15.4577,15.5497,15.3657,15.4587,422240
20161011,15.4117,15.4577,15.0896,15.4587,1974890
20161010,15.5957,15.7337,15.3657,15.4127,778870
20161007,15.8257,15.9177,15.5957,15.6428,905070
20161006,15.8717,15.9637,15.6877,15.9188,2478390
20161005,15.7337,16.0557,15.6417,15.9188,1597280
